Student_ID,Gender,Department,Semester,Attendance,Family_Income,CGPA,Scholarship,Hosteller,Placement_Package
S164,Female,BBA,5,79,,9.24,Yes,No,4.3
S165,Male,MBA,1,69,360000.0,8.65,Yes,Yes,
S166,Female,MCA,3,86,,7.7,No,Yes,
S167,Male,BBA,5,98,440000.0,6.48,No,Yes,8.6
S168,Female,BBA,3,87,,7.8,No,No,
S169,Male,BCA,3,87,920000.0,6.57,No,No,
S170,Female,BCA,1,85,,9.45,Yes,Yes,
S171,Male,MCA,1,76,250000.0,7.16,No,Yes,
S172,Female,MBA,1,68,890000.0,7.45,No,Yes,
S173,Male,BBA,1,85,,9.04,Yes,Yes,
S174,Female,BCA,3,96,,7.62,No,No,
S175,Male,MBA,1,80,710000.0,6.77,No,No,
S176,Female,BCA,1,87,750000.0,8.14,No,Yes,
S177,Male,BBA,1,81,900000.0,8.77,Yes,Yes,
S178,Female,MCA,3,82,,8.6,Yes,Yes,
S179,Male,BBA,1,71,470000.0,8.19,No,Yes,
S180,Female,MBA,3,96,660000.0,8.71,Yes,No,
S181,Male,BBA,1,88,630000.0,6.43,No,No,
S182,Female,BCA,3,92,,6.44,No,No,
S183,Male,BBA,3,64,890000.0,8.33,Yes,Yes,
S184,Female,BCA,3,96,850000.0,8.35,Yes,No,
S185,Male,BCA,3,66,350000.0,8.88,Yes,No,
S186,Female,MCA,1,75,920000.0,8.54,Yes,No,
S187,Male,MCA,3,83,770000.0,9.23,Yes,No,
S188,Female,BCA,5,81,,6.42,No,Yes,9.5
S189,Male,MCA,3,65,690000.0,8.12,No,Yes,
S190,Female,MBA,1,98,640000.0,8.54,Yes,Yes,
S191,Male,BBA,1,93,900000.0,6.51,No,No,
S192,Female,BBA,3,71,,9.34,Yes,No,
S193,Male,MCA,1,64,890000.0,7.18,No,Yes,
S194,Female,BCA,5,81,,9.09,Yes,Yes,4.6
S195,Male,MCA,5,88,550000.0,6.34,No,No,8.5
S196,Female,MBA,1,94,,6.99,No,No,
S197,Male,MBA,3,78,450000.0,8.77,Yes,No,
S198,Female,MCA,3,63,950000.0,8.32,Yes,No,
S199,Male,BCA,3,65,820000.0,8.72,Yes,No,
S200,Female,MCA,3,65,820000.0,9.32,Yes,Yes,
